Food Name,"Kopi O siu dai"
Description,"Local black coffee with reduced sugar"
Food Group,"Beverages"
Food Subgroup,"Coffee"
Edible Portion,"100%"
Default Serving Size,"1 small cup (150ml) = 150ml"
Alternative Serving Size(s),"1 medium cup (200ml) = 200ml"
Source of Data,"Lab Analysis"
Last Updated,"2010"

,Per 100ml,Per Serving (150ml)
Energy (kcal),28,42
Protein (g),0.2,0.3
Total Fat (g),0.9,1.35
Saturated Fat (g),0.31,0.47
Trans Fat (g),-,-
Carbohydrate (g),4.7,7.05
Sugar (g),4.7,7.05
Added Sugar (g),-,-
Dietary Fibre (g),0,0
Sodium (mg),9,14
Potassium (mg),-,-
Calcium (mg),2,3
Iron (mg),0,0

Trace: Nutrient is present in quantities too low to be measured with acceptable precision (i.e. below the minimum detection limit)
Dash (-): No data is available for this nutrient
Per 100ml: Nutrient data reported in the column is per 100ml edible portion
Per serving size (ml): Nutrient data reported in the column is calculated based on total weight of edible and non-edible portions (e.g. includes weight of bones and herbs)
• There will be differences in reported nutrient data per 100ml edible portion and per 100ml serving size if edible portion is less than 100%
