Food Name,"Flavoured green tea (less sugar, packaged)"
Description,"Ready-to-drink green tea with added flavours and less sugar"
Food Group,"Beverages"
Food Subgroup,"Tea and related drinks"
Edible Portion,"100%"
Default Serving Size,"1 bottle = 500ml"
Alternative Serving Size(s),"1 glass (250ml) = 250ml"
Source of Data,"NIP"
Last Updated,"2025"

,Per 100ml,Per Serving (500ml)
Energy (kcal),28,140
Protein (g),0,0
Total Fat (g),0,0
Saturated Fat (g),0,0
Trans Fat (g),0,0
Carbohydrate (g),6.79,33.95
Sugar (g),6.79,33.95
Added Sugar (g),-,-
Dietary Fibre (g),0,0
Sodium (mg),5,25
Potassium (mg),-,-
Calcium (mg),2,10
Iron (mg),0,0

Trace: Nutrient is present in quantities too low to be measured with acceptable precision (i.e. below the minimum detection limit)
Dash (-): No data is available for this nutrient
Per 100ml: Nutrient data reported in the column is per 100ml edible portion
Per serving size (ml): Nutrient data reported in the column is calculated based on total weight of edible and non-edible portions (e.g. includes weight of bones and herbs)
• There will be differences in reported nutrient data per 100ml edible portion and per 100ml serving size if edible portion is less than 100%
