Food Name,"Chicken, whole, raw, without skin"
Description,"Raw, uncooked whole chicken, without skin, displaying a pale pink colour with firm texture throughout various cuts including breast, thigh, wing and drumstick portions."
Food Group,"Poultry"
Food Subgroup,"Chicken"
Edible Portion,"70%"
Default Serving Size,"1 whole = 1046g"
Alternative Serving Size(s),"-"
Source of Data,"Borrowed"
Last Updated,"2025"

,Per 100g,Per Serving (1046g)
Energy (kcal),119,871
Protein (g),21.39,156.62
Total Fat (g),3.08,22.55
Saturated Fat (g),0.79,5.78
Trans Fat (g),-,-
Carbohydrate (g),0,0
Sugar (g),0,0
Added Sugar (g),-,-
Dietary Fibre (g),0,0
Sodium (mg),77,564
Potassium (mg),229,1677
Calcium (mg),12,88
Iron (mg),0.89,6.52

Trace: Nutrient is present in quantities too low to be measured with acceptable precision (i.e. below the minimum detection limit)
Dash (-): No data is available for this nutrient
Per 100g: Nutrient data reported in the column is per 100g edible portion
Per serving size (g): Nutrient data reported in the column is calculated based on total weight of edible and non-edible portions (e.g. includes weight of bones and herbs)
• There will be differences in reported nutrient data per 100g edible portion and per 100g serving size if edible portion is less than 100%
