Food Name,"Teh C"
Description,"Local tea with evaporated milk and sugar"
Food Group,"Beverages"
Food Subgroup,"Tea and related drinks"
Edible Portion,"100%"
Default Serving Size,"1 small cup (150ml) = 150ml"
Alternative Serving Size(s),"1 medium cup (200ml) = 200ml"
Source of Data,"Lab Analysis"
Last Updated,"2023"

,Per 100ml,Per Serving (150ml)
Energy (kcal),42,63
Protein (g),1.22,1.83
Total Fat (g),1.51,2.27
Saturated Fat (g),0.92,1.38
Trans Fat (g),-,-
Carbohydrate (g),5.79,8.69
Sugar (g),5.41,8.12
Added Sugar (g),-,-
Dietary Fibre (g),0.67,1.01
Sodium (mg),23,35
Potassium (mg),-,-
Calcium (mg),-,-
Iron (mg),-,-

Trace: Nutrient is present in quantities too low to be measured with acceptable precision (i.e. below the minimum detection limit)
Dash (-): No data is available for this nutrient
Per 100ml: Nutrient data reported in the column is per 100ml edible portion
Per serving size (ml): Nutrient data reported in the column is calculated based on total weight of edible and non-edible portions (e.g. includes weight of bones and herbs)
• There will be differences in reported nutrient data per 100ml edible portion and per 100ml serving size if edible portion is less than 100%
