Food Name,"Veal shank, raw, lean"
Description,"Raw, uncooked pale red meat from the lower leg portion of young calf, with bone, displaying a light pink colour with dense texture. Lean muscle meat only, with all separable fat removed."
Food Group,"Meat and alternatives"
Food Subgroup,"Beef"
Edible Portion,"47%"
Default Serving Size,"1 whole = 275g"
Alternative Serving Size(s),"-"
Source of Data,"Borrowed"
Last Updated,"2025"

,Per 100g,Per Serving (275g)
Energy (kcal),108,140
Protein (g),19.28,24.92
Total Fat (g),2.83,3.66
Saturated Fat (g),0.74,0.96
Trans Fat (g),-,-
Carbohydrate (g),0,0
Sugar (g),-,-
Added Sugar (g),-,-
Dietary Fibre (g),-,-
Sodium (mg),85,110
Potassium (mg),316,408
Calcium (mg),20,26
Iron (mg),0.76,0.98

Trace: Nutrient is present in quantities too low to be measured with acceptable precision (i.e. below the minimum detection limit)
Dash (-): No data is available for this nutrient
Per 100g: Nutrient data reported in the column is per 100g edible portion
Per serving size (g): Nutrient data reported in the column is calculated based on total weight of edible and non-edible portions (e.g. includes weight of bones and herbs)
• There will be differences in reported nutrient data per 100g edible portion and per 100g serving size if edible portion is less than 100%
