Food Name,"Yuan yang siu dai"
Description,"Traditional tea combined with coffee and less condensed milk"
Food Group,"Beverages"
Food Subgroup,"Tea and related drinks"
Edible Portion,"100%"
Default Serving Size,"1 small cup (150ml) = 150ml"
Alternative Serving Size(s),"1 medium cup (200ml) = 200ml"
Source of Data,"Lab Analysis"
Last Updated,"2023"

,Per 100ml,Per Serving (150ml)
Energy (kcal),47,71
Protein (g),1.06,1.59
Total Fat (g),1.98,2.97
Saturated Fat (g),1.11,1.67
Trans Fat (g),-,-
Carbohydrate (g),6.28,9.42
Sugar (g),5.03,7.55
Added Sugar (g),-,-
Dietary Fibre (g),0.91,1.37
Sodium (mg),20,30
Potassium (mg),-,-
Calcium (mg),-,-
Iron (mg),-,-

Trace: Nutrient is present in quantities too low to be measured with acceptable precision (i.e. below the minimum detection limit)
Dash (-): No data is available for this nutrient
Per 100ml: Nutrient data reported in the column is per 100ml edible portion
Per serving size (ml): Nutrient data reported in the column is calculated based on total weight of edible and non-edible portions (e.g. includes weight of bones and herbs)
• There will be differences in reported nutrient data per 100ml edible portion and per 100ml serving size if edible portion is less than 100%
