Food Name,"Earl grey milk tea"
Description,"Black tea flavoured with bergamot oil, mixed with milk or creamer and customisable topping"
Food Group,"Beverages"
Food Subgroup,"Speciality tea"
Edible Portion,"100%"
Default Serving Size,"1 medium cup (500ml) = 500ml"
Alternative Serving Size(s),"1 large cup (700ml) = 700ml"
Source of Data,"Lab Analysis"
Last Updated,"2010"

,Per 100ml,Per Serving (500ml)
Energy (kcal),56,280
Protein (g),0.24,1.2
Total Fat (g),1.77,8.85
Saturated Fat (g),1.62,8.1
Trans Fat (g),0,0
Carbohydrate (g),10.1,50.5
Sugar (g),7.2,36
Added Sugar (g),-,-
Dietary Fibre (g),0.03,0.15
Sodium (mg),9,45
Potassium (mg),-,-
Calcium (mg),2,10
Iron (mg),0.11,0.55

Trace: Nutrient is present in quantities too low to be measured with acceptable precision (i.e. below the minimum detection limit)
Dash (-): No data is available for this nutrient
Per 100ml: Nutrient data reported in the column is per 100ml edible portion
Per serving size (ml): Nutrient data reported in the column is calculated based on total weight of edible and non-edible portions (e.g. includes weight of bones and herbs)
• There will be differences in reported nutrient data per 100ml edible portion and per 100ml serving size if edible portion is less than 100%
